CA,55,99.9
OR,7,91.5
WA,12,97.1
ID,4,0.7
NV,6,48.3
AZ,11,25.5
UT,6,3.0
WY,3,0.8
MT,3,3.4
ND,3,2.0
SD,3,4.8
NE,2,1.5
CO,9,72.0
NM,5,81.5
TX,38,4.0
OK,7,0.1
KS,6,2.2
MO,10,3.0
IA,6,26.8
MN,10,80.8
WI,10,77.7
MI,16,76.2
IN,11,2.2
IL,20,98.1
KY,8,0.3
TN,11,2.1
AR,6,0.4
LA,8,0.6
MS,6,1.3
AL,9,0.2
FL,29,48.0
GA,16,16.8
SC,9,10.5
NC,15,48.0
VA,13,82.0
WV,5,0.2
OH,18,33.4
PA,20,74.4
MD,10,99.9
DC,3,99.9
DE,3,90.4
NJ,14,96.7
NY,29,99.7
CT,7,95.3
RI,4,91.5
MA,11,99.9
VT,3,97.8
NH,4,60.4
ME,2,76.2
AK,3,22.9
HI,4,98.8
